Cantidad,t_HC_ID,t_HC_SN,t_HA_ID,t_HA_SN,t_BST_ID,t_BTS_SN,s_HC_ID,s_HC_SN,s_HA_ID,s_HA_SN,s_BST_ID,s_BTS_SN
10000,433,374,497,364,1119,1738,115794020,266672,266672,400008,400008,240000,240000
15000,674,536,944,529,1715,1968,171133622,400016,400016,600024,600024,360000,360000
20000,873,741,1015,711,2407,2916,225267886,533344,533344,800016,800016,480000,480000
30000,1378,1089,1782,1636,4792,5640,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,74,57,150,65,9461429,26672,26672,40008,40008,24000,24000
5000,218,184,245,172,418,485,60762322,133344,133344,200016,200016,120000,120000
10000,448,362,484,374,1646,1776,115794020,266672,266672,400008,400008,240000,240000
15000,660,601,783,516,1683,1969,171133622,400016,400016,600024,600024,360000,360000
20000,869,727,1045,692,2428,2860,225267886,533344,533344,800016,800016,480000,480000
30000,1350,1121,1691,1626,4620,5811,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,34,78,56,55,65,9461429,26672,26672,40008,40008,24000,24000
5000,219,270,268,186,395,480,60762322,133344,133344,200016,200016,120000,120000
10000,447,361,483,376,1090,1813,115794020,266672,266672,400008,400008,240000,240000
15000,678,538,754,530,1703,1995,171133622,400016,400016,600024,600024,360000,360000
20000,886,798,1071,694,2347,3859,225267886,533344,533344,800016,800016,480000,480000
30000,1354,1156,1758,2199,4775,5360,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,34,89,54,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,220,199,244,171,402,498,60762322,133344,133344,200016,200016,120000,120000
10000,451,369,521,366,1126,1788,115794020,266672,266672,400008,400008,240000,240000
15000,662,563,730,517,1693,2069,171133622,400016,400016,600024,600024,360000,360000
20000,885,726,1007,700,2485,2793,225267886,533344,533344,800016,800016,480000,480000
30000,1358,1133,1774,1757,4949,5615,337987014,800016,800016,1200024,1200024,720000,720000
1000,45,34,75,56,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,218,180,245,173,413,483,60762322,133344,133344,200016,200016,120000,120000
10000,432,361,508,362,1164,1795,115794020,266672,266672,400008,400008,240000,240000
15000,661,551,734,528,1680,1940,171133622,400016,400016,600024,600024,360000,360000
20000,904,790,999,713,2373,2774,225267886,533344,533344,800016,800016,480000,480000
30000,1339,1100,1729,1660,4629,5522,337987014,800016,800016,1200024,1200024,720000,720000
1000,44,34,73,54,55,66,9461429,26672,26672,40008,40008,24000,24000
5000,221,182,246,188,398,482,60762322,133344,133344,200016,200016,120000,120000
10000,432,359,543,342,1102,1770,115794020,266672,266672,400008,400008,240000,240000
15000,672,560,738,514,1641,2012,171133622,400016,400016,600024,600024,360000,360000
20000,926,725,1041,775,2361,2776,225267886,533344,533344,800016,800016,480000,480000
